,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Surface reelle bati,Nombre pieces principales,Surface terrain
805119,29/04/2020,Vente,"6000000,00",30.0,AV,3824,FRANKLIN D ROOSEVELT,75008.0,BI,40,,25,"328,84",29.0,,40.0,,,,,,3,4.0,328.0,0.0,
805120,19/05/2020,Vente,"3590000,00",5.0,AV,0918,BERTIE ALBRECHT,75008.0,AX,100,,18,"312,21",19.0,,20.0,,21.0,,,,4,2.0,319.0,7.0,
805121,19/05/2020,Vente,"3590000,00",5.0,AV,0918,BERTIE ALBRECHT,75008.0,AX,100,,25,,,,,,,,,,1,3.0,0.0,0.0,
805122,15/05/2020,Vente,"520000,00",49.0,RUE,8212,DE RICHELIEU,75001.0,AW,37,,46,,54.0,"40,24",,,,,,,2,2.0,40.0,2.0,
805123,27/05/2020,Vente,"683700,00",44.0,RUE,5200,DE LABORDE,75008.0,CI,71,,111,,133.0,"55,68",,,,,,,2,2.0,56.0,3.0,
805124,27/05/2020,Vente,"683700,00",44.0,RUE,5200,DE LABORDE,75008.0,CI,71,,137,,,,,,,,,,1,3.0,0.0,0.0,
805125,24/04/2020,Vente,"3874400,00",18.0,RUE,5993,MARBEUF,75008.0,AN,24,,20,"192,80",78.0,,,,,,,,2,2.0,193.0,4.0,
805126,22/05/2020,Vente,"518000,00",84.0,RUE,6834,NOTRE DAME DE NAZARETH,75003.0,AB,114,,8,"42,16",,,,,,,,,1,2.0,40.0,2.0,
805127,20/05/2020,Vente,"471600,00",77.0,BD,5951,MALESHERBES,75008.0,CI,41,,170,"35,39",,,,,,,,,1,2.0,44.0,2.0,
805128,20/05/2020,Vente,"300000,00",15.0,RUE,9715,DES VERTUS,75003.0,AE,121,,2,"34,00",,,,,,,,,1,2.0,34.0,1.0,
805129,20/05/2020,Vente,"1546000,00",47.0,RUE,9504,DE TURBIGO,75003.0,AD,54,,35,,9.0,"106,13",,,,,,,2,2.0,110.0,3.0,
805130,18/05/2020,Vente,"890000,00",67.0,RUE,6286,MESLAY,75003.0,AB,42,,41,"65,55",43.0,,,,,,,,2,2.0,65.0,2.0,
805131,11/05/2020,Vente,"370000,00",41.0,RUE,8635,SAINT HONORE,75001.0,AO,142,,108,"27,69",,,,,,,,,1,2.0,30.0,1.0,
805132,29/04/2020,Vente,"409150,00",16.0,RUE,8531,SAINTE ANASTASE,75003.0,AL,98,,10,"30,88",24.0,,,,,,,,2,2.0,27.0,3.0,
805133,30/04/2020,Vente,"1150000,00",18.0,RUE,6387,DE MIROMESNIL,75008.0,BM,5,,145,,,,,,,,,,1,2.0,117.0,3.0,
805134,30/04/2020,Vente,"1150000,00",18.0,RUE,6387,DE MIROMESNIL,75008.0,BM,5,,145,,,,,,,,,,1,3.0,0.0,0.0,
